title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent
Marketing 6.0: The Future Is Immersive,"Kotler, Philip",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781119835219/marketing-6-0-the-future-is-immersive?path=1_13,450000.0,450000.0,0.0
"Intentionality: A Groundbreaking Guide to Breath, ...","Kelly, Finnian",Hardcover,0,Business & Self-Help,http://www.periplus.com/p/9781401977542/intentionality-a-groundbreaking-guide-to-breath-consciousness-and-radical-self-transformation?path=1_13,445000.0,557000.0,20.0
HBR Guide to Retaining Your Best People,"Review, Harvard Business",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9798892790888/hbr-guide-to-retaining-your-best-people?path=1_13,398000.0,398000.0,0.0
The Economic Consequences of MR Trump: What the Trade...,"Coggan, Philip",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781805227687/the-economic-consequences-of-mr-trump-what-the-trade-war-means-for-the-world?path=1_13,195000.0,195000.0,0.0
ChatGPT for Dummies,"Baker, Pam",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781394314454/chatgpt-for-dummies?path=1_13,398000.0,398000.0,0.0
Reinvent Yourself: Psychological Insights That Will...,"Kahn, Susan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781398613294/reinvent-yourself-psychological-insights-that-will-transform-your-work-life?path=1_13,455000.0,455000.0,0.0
The Happiness Project Tenth Anniversary Edition : ...,Gretchen Rubin,Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780062937889/the-happiness-project-tenth-anniversary-edition-or-why-i-spent-a-year-trying-to-sing-in-the-morning-clean-my-closets-fight-right-read-aristotle?path=1_13,168000.0,168000.0,0.0
Money,"McWilliams, David",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781471195464/money?path=1_13,238000.0,238000.0,0.0
Principles: Life and Work,"Dalio, Ray",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781501124020/principles-life-and-work?path=1_13,698000.0,698000.0,0.0
I Survived Capitalism and All I Got Was This Lousy...,"Pendleton, Madeline",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780385549783/i-survived-capitalism-and-all-i-got-was-this-lousy-t-shirt-everything-i-wish-i-never-had-to-learn-about-money?path=1_13,34300.0,398000.0,91.0
Range,"Epstein, David",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781035053049/range?path=1_13,235000.0,294000.0,20.0
The Six Disciplines of Strategic Thinking : Leading...,"Watkins, Michael",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781529146585/the-six-disciplines-of-strategic-thinking-leading-your-organization-into-the-future?path=1_13,364000.0,455000.0,20.0
"Step Up, Step Back: How to Really Deliver Strategic...","Johnson, Elsbeth",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781399424677/step-up-step-back-how-to-really-deliver-strategic-change-in-your-organization?path=1_13,223300.0,418000.0,47.0
The Full Freezer Method : Five Steps to Transform ...,"Hall, Kate",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781529912180/the-full-freezer-method-five-steps-to-transform-how-you-shop-cook-and-live?path=1_13,406000.0,508000.0,20.0
Talk Like TED,"Gallo, Carmine",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781529068658/talk-like-ted?path=1_13,308000.0,308000.0,0.0
